Cambodia,2/20/2021,0.54567,0.54891,0.56022,0.54038,0.55859,0.56185,0.57262,0.57987,0.59,0.60064,0.58104,0.55576,0.603,0.60505,0.60906,0.59456,0.60375,0.6071,0.61094,0.62022,0.61981,0.61516,0.6208,0.61349,0.61488,0.61723,0.61173,0.60546,0.60313,0.60543
Cameroon,4/3/2020,0.56482,0.54347,0.53777,0.48512,0.49914,0.48939,0.44076,0.42909,0.40673,0.37844,0.35305,0.29042,0.30944,0.30209,0.27502,0.22935,0.2474,0.2358,0.25508,0.23887,0.27221,0.29981,0.33397,0.31918,0.3672,0.37827,0.38051,0.37316,0.3767,0.36454
Canada,3/18/2020,0.59563,0.57475,0.57169,0.57297,0.55453,0.56616,0.56909,0.57752,0.58735,0.60051,0.61543,0.61126,0.64899,0.66471,0.6809,0.69073,0.70461,0.7164,0.72609,0.73294,0.73887,0.74228,0.74572,0.74857,0.7507,0.75226,0.75587,0.75832,0.76147,0.76956
Chile,3/21/2020,0.62924,0.62355,0.61431,0.61005,0.60599,0.60729,0.61009,0.61439,0.6271,0.63791,0.64878,0.63615,0.67371,0.68388,0.68802,0.69879,0.70465,0.71249,0.71732,0.7209,0.72575,0.72173,0.72755,0.72906,0.72886,0.72996,0.72404,0.7223,0.70832,0.70677
Colombia,3/27/2020,0.66927,0.65513,0.65044,0.64144,0.63405,0.63184,0.6337,0.63733,0.64667,0.65891,0.6727,0.66094,0.70646,0.7185,0.7247,0.73096,0.7346,0.7341,0.73015,0.72867,0.72372,0.71688,0.71688,0.71305,0.71026,0.7049,0.70556,0.70131,0.6992,0.69992
Costa Rica,4/8/2020,0.64993,0.64912,0.65011,0.64933,0.65713,0.66715,0.6766,0.69019,0.70567,0.71947,0.7291,0.66154,0.78443,0.75004,0.73988,0.72621,0.70809,0.68755,0.67119,0.66158,0.64653,0.62989,0.61401,0.59996,0.5909,0.57928,0.56632,0.544,0.53146,0.51992
Cote d'Ivoire,4/11/2020,0.59312,0.55112,0.53919,0.52044,0.5007,0.49368,0.48708,0.49266,0.49982,0.512,0.52691,0.49049,0.5636,0.57553,0.5719,0.57808,0.58332,0.57083,0.5801,0.56532,0.55684,0.55893,0.54971,0.55237,0.5518,0.54242,0.55246,0.55587,0.56819,0.58597
Croatia,3/27/2020,0.61742,0.61289,0.60158,0.59738,0.59442,0.59664,0.59973,0.60903,0.62019,0.6316,0.64861,0.61779,0.69376,0.70755,0.72434,0.74165,0.75834,0.76959,0.78615,0.79575,0.80737,0.8151,0.82659,0.83346,0.84172,0.85173,0.85212,0.86604,0.86216,0.86917
Czechia,3/19/2020,0.60023,0.59194,0.57808,0.58005,0.57802,0.58396,0.59165,0.60521,0.62308,0.6432,0.66274,0.65311,0.71255,0.73109,0.74659,0.76463,0.78272,0.79848,0.81213,0.82575,0.83643,0.84323,0.8496,0.85603,0.8571,0.86147,0.86011,0.86352,0.8599,0.86569
Denmark,3/12/2020,0.57763,0.55313,0.53237,0.50826,0.4896,0.46532,0.45036,0.43469,0.4168,0.40584,0.39636,0.35412,0.38392,0.37293,0.37157,0.37253,0.37608,0.38343,0.39591,0.41095,0.43099,0.45461,0.48157,0.51293,0.54312,0.57307,0.59897,0.62002,0.63971,0.65277
